Id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
5380,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 22 May,21h 25m,1 stop,In-flight meal not included,10844
5381,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
5382,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,14067
5383,GoAir,27/04/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,5140
5384,IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 10 May,14h 55m,1 stop,No info,8330
5385,Jet Airways,3/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
5386,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,18:25 13 Mar,19h 30m,1 stop,In-flight meal not included,11087
5387,GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,18558
5388,IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,02:30,04:00,1h 30m,non-stop,No info,16000
5389,SpiceJet,6/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 07 May,2h 55m,non-stop,No check-in baggage included,3573
5390,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 16 May,12h 40m,1 stop,No info,7670
5391,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 Jun,19h 55m,2 stops,No info,12819
5392,Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
5393,Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 28 Jun,21h 35m,2 stops,In-flight meal not included,11507
5394,Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,13:25,5h 30m,1 stop,No info,8759
5395,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 13 Jun,25h 30m,1 stop,In-flight meal not included,10262
5396,Air India,21/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,09:25 22 May,26h 20m,2 stops,No info,10975
5397,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 07 Jun,9h 10m,1 stop,In-flight meal not included,10262
5398,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,6007
5399,IndiGo,21/03/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
5400,IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6412
5401,Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245
5402,Air India,9/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 10 Jun,23h 30m,2 stops,No info,9968
5403,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:55,10h 40m,1 stop,In-flight meal not included,18260
5404,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,8855
5405,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
5406,SpiceJet,27/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597
5407,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 07 May,28h 5m,1 stop,No info,13067
5408,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:45 13 Mar,17h 50m,1 stop,No info,13817
5409,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,23:15,16h 30m,1 stop,No info,11602
5410,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 10 May,25h 45m,1 stop,No info,13941
5411,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,19:10 16 May,22h 45m,1 stop,No info,14151
5412,IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943
5413,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844
5414,SpiceJet,18/06/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,2753
5415,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,14714
5416,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646
5417,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,No info,15554
5418,Air India,18/03/2019,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,17:45,7h 15m,2 stops,No info,13261
5419,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,05:05 16 Mar,17h 25m,1 stop,In-flight meal not included,11087
5420,Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,11507
5421,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 10 May,6h 30m,1 stop,No info,9424
5422,GoAir,12/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,4937
5423,SpiceJet,6/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 07 Jun,2h 55m,non-stop,No check-in baggage included,3257
5424,IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823
5425,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 13 May,2h 20m,non-stop,No info,5277
5426,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873
5427,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 25 May,12h 10m,1 stop,In-flight meal not included,10844
5428,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,17:00,01:30 28 May,8h 30m,1 stop,No info,7198
5429,Air India,15/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094
5430,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943
5431,IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 16 May,3h,non-stop,No info,3943
5432,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 02 Apr,16h,1 stop,No info,12681
5433,Vistara,15/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,5613
5434,SpiceJet,24/05/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
5435,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 28 May,23h 35m,1 stop,In-flight meal not included,12898
5436,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 May,22h 55m,2 stops,No info,15129
5437,SpiceJet,9/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3911
5438,IndiGo,12/06/2019,Delhi,Cochin,DEL → COK,21:05,00:20 13 Jun,3h 15m,non-stop,No info,6015
5439,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,No info,54826
5440,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,20:30,01:35 28 Mar,5h 5m,1 stop,No info,5073
5441,IndiGo,21/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,4326
5442,Air India,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 25 Jun,26h 35m,2 stops,No info,9443
5443,Jet Airways,3/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040
5444,Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,7229
5445,IndiGo,15/06/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,3943
5446,Air India,06/03/2019,Banglore,New Delhi,BLR → HBX → BOM → BHO → DEL,12:00,23:25,11h 25m,3 stops,No info,14195
5447,Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 16 Jun,18h 50m,2 stops,No info,13292
5448,IndiGo,3/04/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,4174
5449,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,14h 20m,1 stop,No info,16736
5450,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,5198
5451,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:15,12h 10m,1 stop,No info,15058
5452,IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,10:35,15:35,5h,1 stop,No info,5073
5453,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,10197
5454,SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
5455,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,7229
5456,Air India,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 02 Jun,19h 40m,2 stops,No info,10966
5457,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,23:25,9h 30m,1 stop,In-flight meal not included,11134
5458,Air Asia,6/04/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 07 Apr,2h 30m,non-stop,No info,3807
5459,Air India,6/05/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5228
5460,IndiGo,12/06/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
5461,Air Asia,18/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,4483
5462,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 25 Jun,16h 55m,1 stop,In-flight meal not included,10262
5463,SpiceJet,6/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158
5464,Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,23:20 19 Mar,25h 20m,1 stop,No info,6010
5465,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,No info,13376
5466,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 22 Mar,22h 45m,2 stops,No info,11543
5467,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,19:15,9h 20m,1 stop,In-flight meal not included,15342
5468,SpiceJet,15/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,non-stop,No info,6309
5469,Vistara,24/05/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,5823
5470,Vistara,24/03/2019,Banglore,New Delhi,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,5403
5471,SpiceJet,1/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
5472,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 28 May,21h 10m,1 stop,In-flight meal not included,12898
5473,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 16 May,8h 20m,1 stop,No info,6979
5474,Air India,12/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,16:15 13 May,23h 30m,2 stops,No info,13437
5475,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 28 Mar,16h 55m,1 stop,In-flight meal not included,6017
5476,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,14053
5477,IndiGo,6/03/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,7295
5478,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,19:50 13 Jun,24h 55m,1 stop,No info,13044
5479,Jet Airways,3/05/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,4030
5480,Air India,06/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,08:15,11:20 07 Mar,27h 5m,2 stops,No info,13942
5481,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,No info,14781
5482,SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,3579
5483,Air India,27/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 May,21h 15m,2 stops,No info,10231
5484,IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5530
5485,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
5486,Air India,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,8372
5487,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,06:50,19:45,12h 55m,1 stop,No info,16289
5488,Air India,6/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 07 May,21h 15m,2 stops,No info,11701
5489,Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,15:30,9h 30m,1 stop,No info,11269
5490,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 19 May,12h 30m,1 stop,No info,9385
5491,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151
5492,Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544
5493,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,10:45 13 Mar,14h 10m,1 stop,In-flight meal not included,11087
5494,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,5224
5495,IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,4804
5496,Air India,12/03/2019,Mumbai,Hyderabad,BOM → MAA → HYD,05:55,20:35,14h 40m,1 stop,No info,6901
5497,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → HYD → COK,14:35,22:20,7h 45m,1 stop,In-flight meal not included,5999
5498,Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5403
5499,Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13014
5500,Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995
5501,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,08:15 22 May,25h 45m,1 stop,No info,13941
5502,Jet Airways,3/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,19:00 04 Jun,21h 35m,2 stops,In-flight meal not included,11507
5503,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,12192
5504,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 28 May,7h 30m,1 stop,No info,7198
5505,IndiGo,21/06/2019,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,5000
5506,SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
5507,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,18:50,5h 50m,1 stop,No info,12347
5508,Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,11982
5509,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 May,22h 55m,2 stops,In-flight meal not included,13029
5510,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,08:15 07 Mar,11h 40m,1 stop,No info,16736
5511,IndiGo,15/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174
5512,SpiceJet,27/06/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841
5513,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:45 07 Mar,24h,1 stop,No info,17024
5514,IndiGo,24/05/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 25 May,3h,non-stop,No info,3943
5515,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,6442
5516,Air India,9/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,07:05,19:15 10 Mar,36h 10m,2 stops,No info,11762
5517,SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,4174
5518,IndiGo,18/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
5519,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,01:30 07 Jun,11h 30m,1 stop,No info,13377
5520,Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229
5521,IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 16 Mar,2h 50m,non-stop,No info,8855
5522,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,7741
5523,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,13:15,5h 15m,1 stop,No info,22270
5524,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,7740
5525,Air India,9/06/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,12:30 10 Jun,26h 40m,2 stops,No info,14960
5526,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,No info,12032
5527,Air India,6/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,5462
5528,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,18:50 22 Mar,23h 5m,1 stop,No info,12347
5529,Air India,27/03/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,3145
5530,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,20:20,8h 40m,1 stop,In-flight meal not included,7832
5531,IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,4804
5532,IndiGo,9/03/2019,Delhi,Cochin,DEL → MAA → COK,02:05,07:10,5h 5m,1 stop,No info,10482
5533,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 19 May,16h 55m,1 stop,In-flight meal not included,12373
5534,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:20,15h 15m,1 stop,No info,10478
5535,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 19 May,18h 45m,2 stops,In-flight meal not included,13029
5536,Air India,21/03/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 22 Mar,20h 55m,1 stop,No info,6482
5537,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,15554
5538,Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,11789
5539,IndiGo,24/03/2019,Kolkata,Banglore,CCU → IXA → BLR,14:30,20:10,5h 40m,1 stop,No info,9413
5540,Air India,9/06/2019,Kolkata,Banglore,CCU → GAU → BLR,16:45,21:05 10 Jun,28h 20m,1 stop,No info,7662
5541,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 22 May,6h 30m,1 stop,No info,7888
5542,Air Asia,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192
5543,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,In-flight meal not included,6007
5544,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,12:35 28 May,26h 35m,1 stop,In-flight meal not included,12898
5545,Air India,18/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:35 16 Mar,25h 45m,2 stops,No info,11885
5546,Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,22:55,5h 55m,1 stop,No info,14360
5547,Air India,12/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,12:30 13 May,19h 45m,2 stops,No info,14330
5548,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,13:05,22:20,9h 15m,1 stop,No info,6076
5549,SpiceJet,1/03/2019,Kolkata,Banglore,CCU → BLR,06:55,09:35,2h 40m,non-stop,No info,4622
5550,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 10 May,11h 5m,1 stop,No info,14388
5551,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,9794
